Country,"2 013,00","2 014,00","2 015,00","2 016,00","2 017,00","2 018,00","2 019,00","2 020,00","2 021,00","2 022,00","2 023,00"
Union soviétique,( ),-,-,-,-,-,-,-,-,-,-
Amérique,"17 182,00","17 471,00","17 368,00","17 129,00","17 534,00","17 741,00","18 132,00","18 639,00","19 332,00","19 783,00","20 313,00"
Antigua-et-Barbuda,"5,00","5,00","5,00","6,00","6,00","6,00",( ),"5,00","6,00","7,00","8,00"
Argentine,"350,00","346,00","348,00","325,00","327,00","341,00","344,00","370,00","373,00","368,00","396,00"
Bahamas (Iles),"11,00","10,00","10,00","10,00","8,00","6,00","7,00","7,00","7,00","9,00","12,00"
Barbade,"24,00","23,00","21,00","17,00","16,00","15,00","15,00","15,00","14,00","13,00","18,00"
Belize,( ),( ),( ),"5,00","5,00","5,00","4,00","4,00","4,00","4,00","5,00"
Bolivie,"1 039,00","1 118,00","1 206,00","1 300,00","1 404,00","1 502,00","1 603,00","1 717,00","1 830,00","1 900,00","1 939,00"
Brésil,"3 475,00","3 594,00","3 709,00","3 792,00","4 071,00","4 278,00","4 497,00","4 737,00","5 021,00","5 184,00","5 353,00"
Canada,"1 605,00","1 659,00","1 641,00","1 540,00","1 515,00","1 488,00","1 480,00","1 499,00","1 469,00","1 493,00","1 501,00"
Chili,"554,00","557,00","566,00","549,00","548,00","557,00","579,00","586,00","593,00","579,00","582,00"
Colombie,"1 330,00","1 366,00","1 310,00","1 282,00","1 292,00","1 279,00","1 292,00","1 347,00","1 414,00","1 490,00","1 585,00"
Costa-Rica,"63,00","68,00","64,00","69,00","70,00","69,00","66,00","56,00","64,00","55,00","57,00"
Cuba,"288,00","287,00","274,00","257,00","244,00","215,00","214,00","211,00","201,00","209,00","206,00"
Dominicaine (Rép.),"473,00","488,00","493,00","489,00","472,00","477,00","483,00","479,00","492,00","492,00","498,00"
Dominique,"11,00","11,00","12,00","9,00","11,00","11,00","11,00","11,00","10,00","17,00","17,00"
El Salvador,"97,00","100,00","99,00","95,00","104,00","109,00","124,00","131,00","130,00","147,00","165,00"
Equateur,"658,00","678,00","713,00","693,00","677,00","657,00","648,00","637,00","632,00","637,00","639,00"
Etats-Unis d'Amérique,"4 487,00","4 454,00","4 270,00","4 077,00","4 094,00","4 012,00","3 922,00","3 887,00","4 023,00","4 010,00","3 979,00"
Grenade,( ),( ),-,-,( ),( ),-,-,( ),"3,00","5,00"
Guatemala,"73,00","73,00","56,00","60,00","64,00","67,00","68,00","67,00","67,00","64,00","66,00"
Guyana,"18,00","16,00","14,00","14,00","14,00","16,00","14,00","14,00","13,00","11,00","10,00"
Haïti,"224,00","224,00","212,00","205,00","207,00","203,00","198,00","208,00","215,00","218,00","215,00"
Honduras,"96,00","96,00","96,00","107,00","127,00","143,00","162,00","188,00","223,00","264,00","306,00"
Jamaïque,"70,00","66,00","58,00","50,00","60,00","54,00","56,00","59,00","51,00","41,00","36,00"
Mexique,"504,00","490,00","502,00","522,00","530,00","554,00","602,00","634,00","631,00","690,00","693,00"
Nicaragua,"101,00","102,00","112,00","128,00","132,00","171,00","198,00","219,00","238,00","252,00","294,00"
Panama,"44,00","45,00","43,00","49,00","55,00","47,00","55,00","58,00","65,00","59,00","64,00"
Paraguay,"121,00","124,00","133,00","140,00","153,00","173,00","188,00","213,00","229,00","237,00","271,00"
Pérou,"1 049,00","1 049,00","994,00","946,00","927,00","904,00","909,00","899,00","920,00","945,00","988,00"
Saint-Kitts-et-Nevis,"4,00","4,00","5,00","7,00","15,00","16,00","16,00","18,00","19,00","22,00","17,00"
Sainte-Lucie,"6,00","6,00","4,00",( ),"5,00","4,00","4,00","4,00","4,00","4,00","4,00"
Saint-Vincent-et-les-Grenadines,( ),( ),"5,00","5,00","5,00","5,00","5,00",( ),( ),( ),( )
Suriname,( ),-,( ),( ),( ),( ),( ),( ),( ),( ),( )
Trinité-et-Tobago,"36,00","38,00","42,00","38,00","35,00","30,00","34,00","33,00","33,00","32,00","31,00"
Uruguay,"131,00","126,00","117,00","110,00","107,00","100,00","104,00","105,00","111,00","101,00","105,00"
Vénézuela,"230,00","244,00","232,00","228,00","231,00","224,00","225,00","215,00","222,00","221,00","242,00"
Afrique,"17 479,00","17 908,00","18 235,00","17 947,00","17 752,00","17 538,00","17 479,00","17 684,00","17 978,00","18 316,00","18 905,00"
Afrique du sud,"281,00","285,00","291,00","296,00","284,00","305,00","299,00","294,00","289,00","293,00","283,00"
Algérie,"1 112,00","1 110,00","1 086,00","1 017,00","981,00","973,00","948,00","955,00","974,00","988,00","996,00"
Angola,"584,00","576,00","537,00","507,00","469,00","457,00","437,00","433,00","426,00","405,00","411,00"
Bénin,"158,00","156,00","141,00","125,00","132,00","135,00","136,00","135,00","140,00","133,00","132,00"
Botswana,"38,00","35,00","36,00","46,00","49,00","44,00","38,00","39,00","40,00","36,00","40,00"
Burkina Faso,"196,00","203,00","198,00","195,00","201,00","191,00","191,00","196,00","197,00","192,00","204,00"
Burundi,"106,00","113,00","121,00","112,00","109,00","106,00","96,00","94,00","99,00","139,00","192,00"
Cameroun,"977,00","960,00","970,00","954,00","932,00","901,00","885,00","933,00","950,00","967,00","1 014,00"
